ID,TIMESTAMP,DISTRICT,AGE_RANGE,MARITAL_STATUS,EDUCATION_LEVEL,OCCUPATION_SECTOR,MONTHLY_INCOME,SAVINGS,FIXED_DEPOSITS,CURRENT_ACCOUNT,LOAN,PEOPLE'S_BANK,BANK_OF_CEYLON,SAMPATH_BANK,NDB,HNB,COMMERCIAL_BANK,HSBC,NATIONS_TRUST_BANK,SEYLAN_BANK,PAN_ASIA_BANK,STANDARD_CHARTERED_BANK,DFCC_BANK,CARGILLS_BANK,ICICI_BANK,NSB,MOBILE_TYPE,NUMBER_OF_VISIT_BANK_PER_MONTH,ATM_MACHINE_USAGE_PER_MONTH,CREDIT_CARD_USAGE_PER_MONTH
1,2020/11/04 12:40:32 AM GMT+5:30,COLOMBO,30 - 39,MARRIED,DEGREE,PRIVATE,"< 200,000",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,1 - 5,0
2,2020/11/04 12:55:38 AM GMT+5:30,COLOMBO,19 - 29,SINGLE,DEGREE,GOVERNMENT,"40,001 - 60,000",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,0,0
3,2020/11/04 6:58:21 AM GMT+5:30,KURUNEGALA,19 - 29,SINGLE,MASTER,PRIVATE,"140,001 - 160,000",1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,ANDROID,1 - 5,6 - 10,0
4,2020/11/04 9:20:20 AM GMT+5:30,KANDY,30 - 39,MARRIED,AL,GOVERNMENT,"40,001 - 60,000",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,ANDROID,0,6 - 10,0
5,2020/11/04 9:52:19 AM GMT+5:30,GALLE,30 - 39,MARRIED,DEGREE,GOVERNMENT,"< 200,000",1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,APPLE IPHONE,1 - 5,1 - 5,0
7,2020/11/04 2:50:16 PM GMT+5:30,COLOMBO,19 - 29,SINGLE,AL,GOVERNMENT,"180,001 - 200,000",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,APPLE IPHONE,1 - 5,6 - 10,1 - 5
8,2020/11/04 4:15:20 PM GMT+5:30,COLOMBO,19 - 29,SINGLE,DEGREE,PRIVATE,"80,001 - 100,000",1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,0,0
9,2020/11/05 8:28:45 AM GMT+5:30,MATHALE,30 - 39,MARRIED,DEGREE,GOVERNMENT,"40,001 - 60,000",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,6 - 10,0
10,2020/11/06 12:30:40 AM GMT+5:30,COLOMBO,30 - 39,MARRIED,DEGREE,PRIVATE,"100,001 - 120,000",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,1 - 5,0
11,2020/11/06 4:59:35 PM GMT+5:30,MATHALE,19 - 29,SINGLE,DEGREE,GOVERNMENT,"80,001 - 100,000",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,1 - 5,0
13,2020/11/06 4:06:19 PM GMT+5:30,MATHARA,19 - 29,SINGLE,DEGREE,PRIVATE,"20,001- 40,000",1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,1 - 5,0
14,2020/11/08 4:13:38 PM GMT+5:30,NUWARAELIYA,50 - 59,MARRIED,AL,PRIVATE,"60,001 - 80,000",1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,ANDROID,0,1 - 5,0
15,2020/11/07 4:13:54 PM GMT+5:30,COLOMBO,40 - 49,MARRIED,OL,SELF-EMPLOYED,"60,001 - 80,000",1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,ANDROID,1 - 5,1 - 5,0
16,2020/11/07 4:25:10 PM GMT+5:30,GAMPAHA,40 - 49,SINGLE,DEGREE,GOVERNMENT,"40,001 - 60,000",1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,ANDROID,1 - 5,1 - 5,0
17,2020/11/07 4:27:44 PM GMT+5:30,COLOMBO,30 - 39,MARRIED,DEGREE,GOVERNMENT,"80,001 - 100,000",1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,1 - 5,0
18,2020/11/07 5:30:52 PM GMT+5:30,GAMPAHA,19 - 29,MARRIED,AL,PRIVATE,"60,001 - 80,000",1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,1 - 5,0
19,2020/11/07 5:37:23 PM GMT+5:30,COLOMBO,30 - 39,SINGLE,DEGREE,SELF-EMPLOYED,"140,001 - 160,000",1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,1 - 5,0
20,2020/11/07 5:37:24 PM GMT+5:30,GAMPAHA,40 - 49,MARRIED,MASTER,GOVERNMENT,"40,001 - 60,000",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,6 - 10,0
21,2020/11/07 5:43:47 PM GMT+5:30,BATTICALOA,30 - 39,MARRIED,AL,GOVERNMENT,"< 200,000",1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,ANDROID,1 - 5,6 - 10,0
22,2020/11/08 5:45:58 PM GMT+5:30,COLOMBO,19 - 29,MARRIED,DEGREE,GOVERNMENT,"40,001 - 60,000",1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,0,1 - 5
23,2020/11/08 5:51:52 PM GMT+5:30,BADULLA,30 - 39,SINGLE,DEGREE,PRIVATE,"20,001- 40,000",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,6 - 10,0
24,2020/11/08 5:59:01 PM GMT+5:30,KANDY,19 - 29,MARRIED,AL,STUDENT,"0 - 20,000",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,6 - 10,0
25,2020/11/08 6:03:35 PM GMT+5:30,GAMPAHA,19 - 29,SINGLE,DEGREE,PRIVATE,"100,001 - 120,000",1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,ANDROID,1 - 5,1 - 5,0
27,2020/11/08 6:49:08 PM GMT+5:30,COLOMBO,30 - 39,MARRIED,DEGREE,GOVERNMENT,"0 - 20,000",1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,ANDROID,1 - 5,1 - 5,0
28,2020/11/08 8:50:45 PM GMT+5:30,COLOMBO,0 - 18,SINGLE,AL,GOVERNMENT,"100,001 - 120,000",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,0,1 - 5,0
30,2020/11/09 10:55:46 AM GMT+5:30,GALLE,30 - 39,MARRIED,DEGREE,PRIVATE,"100,001 - 120,000",1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,ANDROID,1 - 5,1 - 5,0
31,2020/11/09 11:58:39 AM GMT+5:30,KANDY,30 - 39,MARRIED,DEGREE,PRIVATE,"60,001 - 80,000",1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,ANDROID,1 - 5,1 - 5,0
32,2020/11/09 12:08:01 PM GMT+5:30,COLOMBO,19 - 29,SINGLE,DEGREE,GOVERNMENT,"40,001 - 60,000",1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ANDROID,1 - 5,1 - 5,0
33,2020/11/09 12:17:36 PM GMT+5:30,MATHALE,30 - 39,MARRIED,DEGREE,GOVERNMENT,"40,001 - 60,000",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,ANDROID,1 - 5,1 - 5,0
34,2020/11/09 12:18:50 PM GMT+5:30,COLOMBO,40 - 49,MARRIED,AL,PRIVATE,"60,001 - 80,000",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,6 - 10,0
35,2020/11/09 12:24:24 PM GMT+5:30,KURUNEGALA,19 - 29,SINGLE,DEGREE,GOVERNMENT,"60,001 - 80,000",1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,6 - 10,0
36,2020/11/09 12:27:44 PM GMT+5:30,KALUTHARA,40 - 49,MARRIED,DEGREE,PRIVATE,"60,001 - 80,000",1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,6 - 10,0
37,2020/11/10 1:13:28 PM GMT+5:30,COLOMBO,40 - 49,MARRIED,AL,GOVERNMENT,"40,001 - 60,000",1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,6 - 10,0
38,2020/11/10 2:18:14 PM GMT+5:30,GAMPAHA,19 - 29,SINGLE,DEGREE,PRIVATE,"60,001 - 80,000",1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,6 - 10,0
39,2020/11/10 2:23:09 PM GMT+5:30,COLOMBO,19 - 29,MARRIED,DEGREE,SELF-EMPLOYED,"80,001 - 100,000",1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,ANDROID,1 - 5,1 - 5,0
40,2020/11/10 3:29:10 PM GMT+5:30,KANDY,30 - 39,MARRIED,DEGREE,SELF-EMPLOYED,"60,001 - 80,000",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,6 - 10,0
41,2020/11/10 4:30:44 PM GMT+5:30,COLOMBO,19 - 29,SINGLE,DEGREE,GOVERNMENT,"80,001 - 100,000",1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,ANDROID,1 - 5,6 - 10,0
42,2020/11/11 1:34:58 PM GMT+5:30,COLOMBO,30 - 39,MARRIED,DEGREE,PRIVATE,"100,001 - 120,000",1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,ANDROID,0,6 - 10,0
43,2020/11/11 1:38:25 PM GMT+5:30,COLOMBO,30 - 39,MARRIED,AL,GOVERNMENT,"40,001 - 60,000",1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,ANDROID,1 - 5,1 - 5,0
45,2020/11/11 1:43:56 PM GMT+5:30,COLOMBO,19 - 29,MARRIED,DEGREE,PRIVATE,"100,001 - 120,000",1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,ANDROID,1 - 5,6 - 10,0
46,2020/11/11 1:46:13 PM GMT+5:30,GAMPAHA,30 - 39,MARRIED,DEGREE,GOVERNMENT,"60,001 - 80,000",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,ANDROID,1 - 5,6 - 10,0
47,2020/11/11 3:56:17 PM GMT+5:30,COLOMBO,19 - 29,MARRIED,AL,GOVERNMENT,"80,001 - 100,000",1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,6 - 10,0
48,2020/11/11 4:20:50 PM GMT+5:30,GAMPAHA,19 - 29,MARRIED,DEGREE,GOVERNMENT,"80,001 - 100,000",1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,6 - 10,0
49,2020/11/11 5:28:41 PM GMT+5:30,COLOMBO,40 - 49,MARRIED,DEGREE,GOVERNMENT,"40,001 - 60,000",1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ANDROID,0,6 - 10,0
51,2020/11/11 6:18:50 AM GMT+5:30,COLOMBO,19 - 29,MARRIED,MASTER,SELF,"100,001 - 120,000",1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,ANDROID,1 - 5,6 - 10,0
52,2020/11/11 6:21:52 AM GMT+5:30,KANDY,40 - 49,MARRIED,DEGREE,GOVERNMENT,"40,001 - 60,000",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,1 - 5,0
53,2020/11/12 6:23:30 AM GMT+5:30,COLOMBO,19 - 29,MARRIED,OL,GOVERNMENT,"20,001- 40,000",1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ANDROID,1 - 5,1 - 5,0
54,2020/11/16 7:16:09 AM GMT+5:30,COLOMBO,30 - 39,SINGLE,AL,GOVERNMENT,"80,001 - 100,000",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,1 - 5,1 - 5,1 - 5
